id,latitude,longitude
12013,12.843051,77.486329
28241,12.843064,77.656476
43959,12.844149,77.679381
38086,12.845215,77.660170
38689,12.845215,77.660170
43471,12.845215,77.660170
43520,12.845215,77.660170
49525,12.845215,77.660170
54811,12.845215,77.660170
58139,12.845215,77.660170
23487,12.845681,77.667390
58088,12.845863,77.663113
37306,12.848575,77.461553
26392,12.850518,77.677133
48388,12.851739,77.652757
53209,12.853988,77.588324
53125,12.854030,77.588324
25727,12.854102,77.588557
26393,12.855012,77.662383
17255,12.856765,77.600575
27499,12.856795,77.588565
30268,12.857267,77.585221
53129,12.859301,77.598512
53213,12.859395,77.599749
53214,12.859395,77.599749
53222,12.859395,77.599749
53128,12.860232,77.599620
44854,12.860366,77.664342
36996,12.861717,77.531867
53126,12.863836,77.599290
32994,12.864198,77.598113
32998,12.864198,77.598113
34942,12.864198,77.598113
58080,12.864465,77.593587
32498,12.865514,77.600078
58864,12.866035,77.559442
58181,12.870556,77.655760
55545,12.870668,77.660833
25254,12.870715,77.541376
35940,12.870856,77.593371
37018,12.871816,77.602182
45793,12.871816,77.602182
53488,12.871816,77.602182
53728,12.871816,77.602182
53729,12.871816,77.602182
33860,12.871930,77.597921
55643,12.872212,77.641637
125225,12.873488,77.658091
125227,12.873488,77.658091
125238,12.873488,77.658091
26812,12.875460,77.542293
26819,12.875460,77.542293
33866,12.876185,77.595482
130359,12.877813,77.595800
135677,12.877813,77.595800
36880,12.878480,77.514834
42429,12.878767,77.637668
130360,12.880925,77.598898
42431,12.881227,77.627838
42428,12.881596,77.626587
53614,12.882219,77.565968
27413,12.888918,77.597297
25372,12.889522,77.579852
14713,12.891315,77.606606
35978,12.892154,77.601472
35983,12.892154,77.601472
11889,12.892454,77.665468
56820,12.893942,77.463147
115956,12.894455,77.555485
125231,12.896053,77.570161
14761,12.896656,77.599579
27801,12.898483,77.559065
27833,12.898483,77.559065
54541,12.899453,77.558385
36942,12.899668,77.482684
44290,12.899668,77.482684
57928,12.900086,77.628927
43301,12.900355,77.570936
58059,12.900829,77.630140
46936,12.901054,77.627129
57912,12.901456,77.625333
58071,12.901680,77.631306
58074,12.901680,77.631306
58084,12.901680,77.631306
58089,12.901680,77.631306
57900,12.901707,77.630869
30267,12.902222,77.601314
45117,12.902747,77.634998
30206,12.902980,77.624194
36784,12.902980,77.624194
37361,12.902980,77.624194
45101,12.902980,77.624194
45465,12.902980,77.624194
45466,12.902980,77.624194
48934,12.902980,77.624194
48935,12.902980,77.624194
42309,12.903608,77.544138
42328,12.903608,77.544138
22046,12.903621,77.632848
36938,12.904071,77.512455
24776,12.904438,77.564928
25366,12.904438,77.564928
41600,12.904438,77.564928
42701,12.904438,77.564928
42935,12.904438,77.564928
43003,12.904438,77.564928
52648,12.904438,77.564928
37382,12.904614,77.614948
27258,12.904658,77.526945
31241,12.905590,77.622302
150626,12.905951,77.695593
57903,12.906016,77.567440
55068,12.906343,77.585683
58190,12.906343,77.585683
150645,12.906343,77.585683
12001,12.906348,77.599550
20260,12.906495,77.606272
54969,12.906497,77.582162
44856,12.906957,77.499376
46920,12.906982,77.552059
57136,12.906982,77.552059
20258,12.907123,77.602461
28672,12.907234,77.565569
45108,12.907234,77.565569
20264,12.907348,77.606022
45507,12.907351,77.547216
55024,12.907556,77.573061
57901,12.907647,77.550231
53616,12.908322,77.605078
20831,12.908996,77.589213
58091,12.909133,77.539700
43904,12.909369,77.576537
46098,12.909675,77.606864
29543,12.909747,77.678598
44859,12.909948,77.499934
45939,12.910570,77.610319
27290,12.910695,77.566940
43369,12.911388,77.546296
58222,12.911673,77.625843
37042,12.912118,77.644555
45118,12.912118,77.644555
46919,12.912118,77.644555
58149,12.912118,77.644555
58204,12.912118,77.644555
43553,12.912139,77.647047
52484,12.912508,77.651825
46549,12.912620,77.601520
43302,12.912746,77.512705
57930,12.913336,77.587095
46991,12.913421,77.486242
43081,12.913626,77.487075
27435,12.913821,77.608307
20261,12.914177,77.610546
12881,12.914318,77.640726
36932,12.914860,77.520640
20263,12.914898,77.612671
45515,12.915177,77.487532
125370,12.915343,77.651637
53793,12.915432,77.573672
43939,12.915569,77.556773
45112,12.915569,77.556773
44038,12.915778,77.573381
24345,12.915848,77.612226
24755,12.915858,77.612240
45505,12.916158,77.570120
30269,12.916168,77.614997
45691,12.916195,77.607007
53473,12.916206,77.570387
11857,12.916257,77.606958
41257,12.916413,77.522529
36852,12.916542,77.483517
44868,12.916571,77.623383
33787,12.916576,77.610116
40483,12.916576,77.610116
42629,12.916576,77.610116
45103,12.916576,77.610116
45111,12.916576,77.610116
46096,12.916576,77.610116
58065,12.916576,77.610116
58219,12.916576,77.610116
58210,12.916585,77.621930
24753,12.916615,77.598488
45712,12.916943,77.621934
12028,12.917038,77.707432
49751,12.917759,77.610446
37159,12.917898,77.605333
44737,12.918074,77.522264
58095,12.918087,77.605101
49047,12.918765,77.501404
24770,12.918984,77.570450
53727,12.920282,77.620919
31628,12.920403,77.593411
31658,12.920433,77.635714
46451,12.920461,77.592030
14704,12.920782,77.579794
31641,12.921465,77.591429
54469,12.921588,77.580261
55022,12.921588,77.580261
45113,12.921781,77.601162
45189,12.921781,77.601162
45458,12.921781,77.601162
43114,12.921920,77.560513
40120,12.922146,77.575223
36917,12.922524,77.517512
26236,12.922637,77.617444
43952,12.922637,77.617444
45699,12.922637,77.617444
45114,12.922698,77.592659
44006,12.922736,77.545251
37360,12.923052,77.484652
45063,12.923135,77.506672
43595,12.923313,77.553333
36129,12.923397,77.597874
25589,12.923494,77.558359
26078,12.923723,77.498701
28056,12.923723,77.498701
28577,12.923723,77.498701
33441,12.923980,77.652434
46474,12.924299,77.645733
30127,12.924455,77.693870
31357,12.924818,77.587232
36916,12.925230,77.529696
44039,12.925230,77.529696
36177,12.925453,77.546757
42473,12.925453,77.546757
42474,12.925453,77.546757
43110,12.925453,77.546757
46053,12.925800,77.617613
23947,12.925940,77.583042
36119,12.925940,77.583042
37309,12.925940,77.583042
40742,12.925940,77.583042
45116,12.925940,77.583042
37317,12.926124,77.607070
37318,12.926124,77.607070
52057,12.926133,77.679542
43364,12.926162,77.549990
45469,12.926196,77.605428
22402,12.926270,77.600329
45627,12.926329,77.502753
45745,12.927282,77.578055
47221,12.927930,77.616226
37319,12.928044,77.610293
36545,12.928304,77.583928
24021,12.928874,77.607502
47210,12.929326,77.620904
43368,12.930428,77.678404
45343,12.930428,77.678404
58220,12.930428,77.678404
24300,12.930463,77.629048
58223,12.930774,77.583830
43594,12.930892,77.567072
23790,12.930918,77.609716
24842,12.930918,77.609716
36610,12.930918,77.609716
37304,12.930918,77.609716
37308,12.930918,77.609716
40000,12.930918,77.609716
43896,12.930918,77.609716
45833,12.930918,77.609716
49548,12.930918,77.609716
52065,12.930918,77.609716
35939,12.931199,77.563068
45198,12.931359,77.602131
43112,12.931434,77.628023
43113,12.931434,77.628023
21990,12.931458,77.629986
41691,12.931458,77.629986
58063,12.931458,77.629986
58067,12.931458,77.629986
58070,12.931458,77.629986
43459,12.931568,77.513035
58076,12.931741,77.569457
37314,12.931979,77.611367
22417,12.932793,77.603283
35330,12.932901,77.613274
35335,12.932901,77.613274
36726,12.932946,77.583869
42444,12.933116,77.614533
53217,12.933225,77.614688
39895,12.933253,77.610779
37070,12.933408,77.615420
45639,12.933412,77.615658
45792,12.933438,77.560867
46438,12.933908,77.615566
27172,12.933948,77.615482
23724,12.934073,77.615741
44912,12.934313,77.494012
36780,12.934417,77.606017
36814,12.934417,77.606017
43105,12.934417,77.606017
43501,12.934417,77.606017
46788,12.934417,77.606017
37316,12.934440,77.611268
47220,12.934440,77.611268
58086,12.934440,77.611268
47420,12.934460,77.558170
45604,12.934470,77.630843
43086,12.934483,77.611980
41230,12.934494,77.610696
32600,12.934509,77.616053
33254,12.934509,77.616053
34815,12.934711,77.559115
38452,12.934726,77.605146
46648,12.934726,77.605146
43294,12.934812,77.609988
53492,12.934848,77.613900
42398,12.934891,77.612078
56057,12.935049,77.618073
57904,12.935087,77.588040
23932,12.935193,77.624481
24772,12.935193,77.624481
26514,12.935193,77.624481
26531,12.935193,77.624481
28843,12.935193,77.624481
33509,12.935193,77.624481
36729,12.935193,77.624481
36862,12.935193,77.624481
37043,12.935193,77.624481
37340,12.935193,77.624481
37841,12.935193,77.624481
38713,12.935193,77.624481
42022,12.935193,77.624481
42432,12.935193,77.624481
43005,12.935193,77.624481
43324,12.935193,77.624481
43642,12.935193,77.624481
43643,12.935193,77.624481
44220,12.935193,77.624481
48867,12.935193,77.624481
53535,12.935193,77.624481
58203,12.935193,77.624481
35365,12.935216,77.619961
35381,12.935216,77.619961
36720,12.935216,77.619961
37069,12.935216,77.619961
25888,12.935468,77.614142
46314,12.935516,77.614129
36725,12.936136,77.615217
111533,12.936236,77.606189
52059,12.936279,77.561444
43028,12.936325,77.615773
53615,12.936325,77.615773
43009,12.936468,77.616043
53211,12.936468,77.616043
36121,12.936674,77.560695
46221,12.936716,77.580094
40399,12.936720,77.618396
46046,12.936977,77.568390
46225,12.936977,77.568390
44766,12.937001,77.627860
53541,12.937017,77.602689
31392,12.937039,77.632122
46918,12.937053,77.559993
32596,12.937135,77.601706
36873,12.937135,77.601706
43700,12.938132,77.573874
31399,12.938444,77.631878
22054,12.938582,77.637928
56002,12.938614,77.550752
54386,12.938629,77.544029
44236,12.938879,77.741205
45475,12.939368,77.557412
21521,12.939661,77.695166
20379,12.940046,77.620690
42522,12.940198,77.573278
57916,12.940273,77.562505
29324,12.940600,77.573763
42216,12.940600,77.573763
42417,12.940600,77.573763
45701,12.940600,77.573763
35915,12.940625,77.570918
37354,12.940659,77.620746
43725,12.941012,77.565526
45296,12.941012,77.565526
50075,12.941012,77.565526
37326,12.941164,77.621290
37438,12.941469,77.617813
38449,12.941469,77.617813
36779,12.941473,77.608482
43322,12.941473,77.608482
43640,12.941473,77.608482
44764,12.941778,77.567828
46223,12.941818,77.575248
46228,12.941818,77.575248
