ward-name,police_stations,population_density,streetlight_density,bus_stop_density
Lakkasandra,0.0,,0.21644976790540527,0.5085470085470085
Adugodi,0.009708737864077669,,0.2516677622859745,0.1701388888888889
Ejipura,0.0,,0.20020533992346587,0.347953216374269
Varthur,0.009708737864077669,,0.024959065511313945,0.08932076953278366
Bellanduru,0.009708737864077669,,0.04569013535812375,0.11195286195286196
Koramangala,0.009708737864077669,,0.1616596310368559,0.3888888888888889
Suddagunte Palya,0.0,,0.2368261658759149,0.32026143790849676
Jaya Nagar,0.019417475728155338,,0.18979499641308295,0.28
Basavanagudi,0.009708737864077669,,0.4286150789989787,0.4537037037037038
Hanumanth Nagar,0.0,,0.3848920667906686,0.23333333333333334
Sri Nagar,0.0,,0.39875745606907564,0.5347222222222222
Gali Anjenaya Temple Ward,0.009708737864077669,,0.272652688738109,0.24747474747474746
Deepanjali Nagar,0.0,,0.21192820104292104,0.3333333333333333
Kengeri,0.0,,0.22609570670852028,0.2592592592592593
Raja Rajeshawari Nagar,0.009708737864077669,,0.12913792549824993,0.28378378378378377
Hosakerehalli,0.009708737864077669,,0.3591622838274708,0.5384615384615384
Giri Nagar,0.0,,0.29084737137036215,0.49691358024691357
Katriguppe,0.0,,0.3163794192058126,0.4949494949494949
Vidya Peeta Ward,0.019417475728155338,,0.3588791240736572,0.4537037037037038
Ganesh Mandir Ward,0.009708737864077669,,0.25396843528571017,0.3888888888888889
Kari Sandra,0.0,,0.42547314981146084,0.8484848484848484
Yediyur,0.0,,0.33679266327619467,0.4861111111111111
Pattabhi Ram Nagar,0.009708737864077669,,0.2837418505764072,0.43464052287581706
Byra Sandra,0.009708737864077669,,0.571972569915842,0.21604938271604937
Jaya Nagar East,0.0,,0.34047374007577175,0.5833333333333334
Gurappana Palya,0.0,,0.504194012971248,0.3333333333333333
Madivala,0.0,,0.28934767341497886,0.4537037037037038
Jakka Sandra,0.009708737864077669,,0.22611495416891023,0.337037037037037
HSR Layout,0.009708737864077669,,0.16309077166798194,0.28482003129890454
Bommanahalli,0.0,,0.3051626700353841,0.34567901234567905
BTM Layout,0.019417475728155338,,0.2856665966154017,0.24074074074074073
JP Nagar,0.009708737864077669,,0.22567867840007144,0.5185185185185185
Sarakki,0.0,,0.35991737650430716,0.5384615384615384
Shakambari Narar,0.0,,0.20924658118558503,0.5321637426900585
Banashankari Temple Ward,0.0,,0.5329414698822309,0.5
Kumara Swamy Layout,0.009708737864077669,,0.26044440372941063,0.6481481481481483
Padmanabha Nagar,0.0,,0.25992311834384957,0.25163398692810457
Chikkala Sandra,0.0,,0.4567065287169634,0.3888888888888889
Uttarahalli,0.009708737864077669,,0.12721916965986815,0.1531986531986532
Yelchenahalli,0.0,,0.499373555257516,0.2673611111111111
Jaraganahalli,0.0,,0.2677960699302754,0.1794871794871795
Puttenahalli,0.0,,0.13365645965815331,0.1475095785440613
Bilekhalli,0.0,,0.1871240755724596,0.13565891472868216
Honga Sandra,0.0,,0.2014108387584151,0.2962962962962963
Mangammana Palya,0.0,,0.1036227414286974,0.16666666666666666
Singa Sandra,0.009708737864077669,,0.0771565762957145,0.11626575028636885
Begur,0.0,,0.043623957322507866,0.11052631578947368
Arakere,0.009708737864077669,,0.1541517618668749,0.18265993265993266
Gottigere,0.0,,0.13128245672683236,0.1996996996996997
Konankunte,0.0,,0.27775107853003667,0.21732026143790853
Anjanapura,0.0,,0.08053805378984581,0.12621832358674465
Vasanthpura,0.0,,0.19762212813428895,0.3206627680311891
Hemmigepura,0.009708737864077669,,0.05408998810342796,0.10455373406193078
Total,0.9999999999999999,,0.0,0.0008221868290368199
