lat,lon,restaurants,shops,bus_stops,hospitals,police_stations,crowd_score,hospital_dist_m,police_dist_m
1427080.5343541433,767143.3096114303,1,1,0,0,0,5,2184.6599873865653,2583.264088994301
1427265.599843782,767075.9751063668,0,0,0,0,0,0,2142.7396729431475,2541.368339793931
1427508.175056399,767065.3858108602,0,0,0,0,0,0,2043.106694061924,2438.3269750165664
1427757.5642197637,767057.9762054838,0,0,0,0,0,0,1963.509127347243,2350.6190235883514
1427980.454738842,767056.4420997443,0,0,0,0,0,0,1912.207065101292,2287.5259338944966
1426806.0031009824,767371.5449927606,0,0,0,0,0,0,2183.2187702645992,2574.823201125066
1427012.3165453435,767310.2973828155,2,3,0,0,0,12,2092.0062132736884,2488.6374938363087
1427256.02912519,767303.457229976,0,0,0,0,0,0,1953.688174860375,2352.5822541594107
1427506.02912519,767303.457229976,0,0,0,0,0,0,1828.503024055588,2225.937119853681
1427756.02912519,767303.457229976,0,0,0,0,0,0,1730.5921337425514,2121.308289829469
1427979.4113628927,767304.8112448776,0,0,0,0,0,0,1668.802334584749,2047.9110445169758
1426362.0007805019,767663.8951966797,0,0,0,0,0,0,2342.08521928505,2709.284407519151
1426534.1215706163,767598.634891397,0,0,0,0,0,0,2237.9941151970324,2614.2474914530494
1426756.4439989019,767553.8793316709,0,0,0,0,0,0,2093.370551203411,2478.6055127973023
1427006.02912519,767553.457229976,0,0,0,0,0,0,1913.4256937576044,2305.769138451142
1427256.02912519,767553.457229976,0,0,0,0,0,0,1750.063915953625,2147.4925189137325
1427506.02912519,767553.457229976,0,1,0,0,0,2,1609.1145187071374,2007.953415233325
1427756.02912519,767553.457229976,0,0,0,0,0,0,1496.9219614613414,1891.303708213966
1427993.3092541802,767557.7621990212,0,0,0,0,0,0,1419.070561041563,1801.7072514885315
1428273.057972755,767666.9108255277,0,0,0,0,0,0,1271.080959550055,1629.5184556421161
1428452.6034032973,767662.6089495792,0,0,0,0,0,0,1280.2759992099127,1614.0937859000794
1426113.2846881715,767865.9999348996,0,0,0,0,0,0,2459.977065152374,2806.377694779468
1426283.6312962265,767818.2207847764,0,0,0,0,0,0,2330.3607998001876,2686.0042753013304
1426506.02912519,767803.457229976,0,0,0,0,0,0,2145.6869441004455,2510.646645413278
1426756.02912519,767803.457229976,0,0,0,0,0,0,1937.9108045713238,2312.682290562556
1427006.02912519,767803.457229976,0,0,0,0,0,0,1741.270832141124,2125.712157381238
1427256.02912519,767803.457229976,0,0,0,0,0,0,1559.9839535253589,1952.8965602394615
1427506.02912519,767803.457229976,2,0,2,0,0,10,1400.0270567556097,1798.3208206412578
1427756.02912519,767803.457229976,0,0,0,0,0,0,1269.488709693372,1667.0664572561504
1428006.02912519,767803.457229976,0,0,0,0,0,0,1178.1881888858456,1565.012259333868
1428256.02912519,767803.457229976,0,0,0,0,0,0,1135.629003161365,1498.137567388931
1428502.3942086773,767807.4380204893,0,0,0,0,0,0,1142.7556486063204,1467.358188513024
1428713.6839534144,767867.419852961,0,0,0,0,0,0,1136.817314745183,1417.467616797411
1428886.7819544838,767925.695878461,0,0,0,0,0,0,1155.250472447909,1392.292146654891
1437022.605204119,767869.1779080986,0,0,0,0,0,0,1095.9926814274497,2377.2517377835225
1437183.0589085582,767903.2627081908,0,0,0,0,0,0,1082.3603875424649,2350.6498666059233
1426360.0361183586,767933.4161148292,0,0,0,0,0,0,2208.9775917211314,2559.952176916403
1426538.803975091,767957.4295016843,0,0,0,0,0,0,2039.685699375175,2396.209088791863
1426777.8568650198,768020.5063368025,0,0,0,0,0,0,1800.6878534574084,2163.258232088319
